INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"65cc14bb-b7fd-4683-9a2a-45819d370975","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"49705981-ae09-4793-9865-37d23288cd08","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"4aba5418-dcbf-4cf4-8a35-35921172554b","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '4aba5418-dcbf-4cf4-8a35-35921172554b'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '4aba5418-dcbf-4cf4-8a35-35921172554b'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"cecbc54e-a269-451a-8183-e24965a1d0da","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'cecbc54e-a269-451a-8183-e24965a1d0da'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = 'cecbc54e-a269-451a-8183-e24965a1d0da'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"8c02f231-2127-4da3-ad26-3e2c8b81b680","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '8c02f231-2127-4da3-ad26-3e2c8b81b680'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '8c02f231-2127-4da3-ad26-3e2c8b81b680'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"d0004b7c-a3ce-47ea-832f-d100c8741fe5","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'd0004b7c-a3ce-47ea-832f-d100c8741fe5'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = 'd0004b7c-a3ce-47ea-832f-d100c8741fe5'","result1":3,"result2":3} 
